year_month,solar_co2_avoided_tonnes,wind_co2_avoided_tonnes,total_co2_avoided_tonnes
2015-01,266089.775,4436608.3,4702698.075
2015-02,611996.175,2451876.85,3063873.025
2015-03,1357823.6,3304214.0,4662037.6
2015-04,2106807.4,2355816.65,4462624.05
2015-05,2095511.9,2511300.775,4606812.675
2015-06,2162589.975,1935283.475,4097873.45
2015-07,2335817.725,2783169.4,5118987.125
2015-08,2190973.125,1835181.5,4026154.625
2015-09,1532603.175,2634308.675,4166911.85
2015-10,924514.825,1889991.275,2814506.1
2015-11,539829.425,5021755.575,5561585.0
2015-12,404191.75,5497329.375,5901521.125
2016-01,310797.725,4400662.675,4711460.4
2016-02,596564.85,4662715.9,5259280.75
2016-03,1146896.525,2854683.975,4001580.5
2016-04,1780799.7,2808108.325,4588908.025
2016-05,2240465.275,2895198.701,5135663.976
2016-06,2206256.725,1580516.349,3786773.074
2016-07,2348210.95,2209539.925,4557750.875
2016-08,2240706.1,2252779.65,4493485.75
2016-09,1827421.9,1980668.3,3808090.2
2016-10,778692.675,2619643.05,3398335.725
2016-11,484161.325,3835980.775,4320142.1
2016-12,366380.325,4418612.45,4784992.775
2017-01,379249.5,3718067.725,4097317.225
2017-02,705356.0,4702400.725,5407756.725
2017-03,1534535.95,4414470.45,5949006.4
2017-04,1832004.225,3861794.65,5693798.875
2017-05,2432141.55,2682143.075,5114284.625
2017-06,2549258.025,3385761.05,5935019.075
2017-07,2321012.45,2609411.075,4930423.525
2017-08,2186325.725,2612388.85,4798714.575
2017-09,1462661.325,2986649.9,4449311.225
2017-10,1011903.9,5928043.7,6939947.6
2017-11,394732.125,4873020.725,5267752.85
2017-12,235233.775,6994565.0,7229798.775
2018-01,346817.925,6861478.55,7208296.475
2018-02,869489.875,3779323.25,4648813.125
2018-03,1284358.2,5062438.85,6346797.05
2018-04,2296783.175,4244045.675,6540828.85
2018-05,2817452.525,3405129.175,6222581.7
2018-06,2534946.75,2737817.825,5272764.575
2018-07,2929274.65,2095765.55,5025040.2
2018-08,2462139.225,2908598.375,5370737.6
2018-09,1932924.15,3791440.025,5724364.175
2018-10,1305580.25,5102955.875,6408536.125
2018-11,556202.2,4722839.5,5279041.7
2018-12,249218.25,6856301.05,7105519.3
2019-01,353884.5,6980378.175,7334262.675
2019-02,1040848.975,5118591.45,6159440.425
2019-03,1449696.675,7715176.1,9164872.775
2019-04,2427893.15,4262241.5,6690134.65
2019-05,2385985.325,3894451.375,6280436.7
2019-06,3065784.9,3127306.9,6193091.8
2019-07,2723928.35,3113125.775,5837054.125
2019-08,2507094.65,2757105.2,5264199.85
2019-09,1859238.825,4327377.3,6186616.125
2019-10,1153771.675,5518521.975,6672293.65
2019-11,497961.025,4780452.725,5278413.75
2019-12,443416.775,7211158.35,7654575.125
2020-01,521157.65,7589861.6,8111019.25
2020-02,793806.225,9626941.375,10420747.6
2020-03,1949431.35,6726890.15,8676321.5
2020-04,3000228.25,4159638.175,7159866.425
2020-05,2943353.65,3613339.725,6556693.375
2020-06,2716436.65,3029136.75,5745573.4
2020-07,2985051.05,3320209.625,6305260.675
2020-08,2583306.025,3197282.475,5780588.5
2020-09,2199929.25,3023191.65,5223120.9
